n,DATE,TIME_UTC,DAY,TIDE,WATER_LEVEL,
1402,10/11/2013,17:30:00,10,LT,-3.731202512,
1436,10/11/2013,23:10:00,10,HT,2.924207254,
1477,11/11/2013,06:00:00,11,LT,-3.22103526,
1511,11/11/2013,11:40:00,11,HT,3.183899495,
1554,11/11/2013,18:50:00,11,LT,-3.273986788,
1590,12/11/2013,00:50:00,12,HT,2.81326335,
1629,12/11/2013,07:20:00,12,LT,-3.059481471,
1664,12/11/2013,13:10:00,12,HT,3.066989409,
1706,12/11/2013,20:10:00,12,LT,-3.530458822,
1741,13/11/2013,02:00:00,13,HT,3.051428403,
1782,13/11/2013,08:50:00,13,LT,-3.682534292,
1816,13/11/2013,14:30:00,13,HT,3.575620698,
1857,13/11/2013,21:20:00,13,LT,-4.037596325,
1892,14/11/2013,03:10:00,14,HT,3.865994057,
1933,14/11/2013,10:00:00,14,LT,-4.097976844,
1966,14/11/2013,15:30:00,14,HT,4.238632923,
2008,14/11/2013,22:30:00,14,LT,-4.573372641,
2041,15/11/2013,04:00:00,15,HT,4.245729089,
2083,15/11/2013,11:00:00,15,LT,-4.950259024,
2115,15/11/2013,16:20:00,15,HT,4.660322561,
2157,15/11/2013,23:20:00,15,LT,-5.197552543,
2190,16/11/2013,04:50:00,16,HT,4.926176813,
2232,16/11/2013,11:50:00,16,LT,-5.201395364,
2264,16/11/2013,17:10:00,16,HT,5.155387794,
2306,17/11/2013,00:10:00,17,LT,-5.314242636,
2337,17/11/2013,05:20:00,17,HT,5.285088047,
2380,17/11/2013,12:30:00,17,LT,-5.345598252,
2412,17/11/2013,17:50:00,17,HT,5.346121871,
2454,18/11/2013,00:50:00,18,LT,-5.249273249,
2485,18/11/2013,06:00:00,18,HT,5.560442976,
2528,18/11/2013,13:10:00,18,LT,-5.199145045,
2559,18/11/2013,18:20:00,18,HT,5.427064304,
2601,19/11/2013,01:20:00,19,LT,-5.026549569,
2633,19/11/2013,06:40:00,19,HT,5.462847981,
2675,19/11/2013,13:40:00,19,LT,-5.103898653,
2707,19/11/2013,19:00:00,19,HT,4.98915079,
2748,20/11/2013,01:50:00,20,LT,-4.961575708,
2780,20/11/2013,07:10:00,20,HT,5.145002503,
2822,20/11/2013,14:10:00,20,LT,-4.478724185,
2854,20/11/2013,19:30:00,20,HT,4.807907966,
2894,21/11/2013,02:10:00,21,LT,-4.157330123,
2927,21/11/2013,07:40:00,21,HT,4.748255348,
2970,21/11/2013,14:50:00,21,LT,-4.330003241,
3002,21/11/2013,20:10:00,21,HT,4.126078737,
3042,22/11/2013,02:50:00,22,LT,-4.089489472,
3074,22/11/2013,08:10:00,22,HT,4.3735937,
3115,22/11/2013,15:00:00,22,LT,-3.953912129,
3149,22/11/2013,20:40:00,22,HT,3.683736579,
3188,23/11/2013,03:10:00,23,LT,-3.59263341,
3222,23/11/2013,08:50:00,23,HT,3.686399744,
3262,23/11/2013,15:30:00,23,LT,-3.411304294,
3296,23/11/2013,21:10:00,23,HT,3.03854336,
3336,24/11/2013,03:50:00,24,LT,-3.068832744,
3369,24/11/2013,09:20:00,24,HT,3.083302177,
3410,24/11/2013,16:10:00,24,LT,-2.984113708,
3444,24/11/2013,21:50:00,24,HT,2.381143906,
3484,25/11/2013,04:30:00,25,LT,-2.671813278,
3518,25/11/2013,10:10:00,25,HT,2.323333677,
3559,25/11/2013,17:00:00,25,LT,-2.740473615,
3594,25/11/2013,22:50:00,25,HT,1.776480831,
3634,26/11/2013,05:30:00,26,LT,-2.450888612,
3669,26/11/2013,11:20:00,26,HT,1.879902295,
3710,26/11/2013,18:10:00,26,LT,-2.506123546,
3746,27/11/2013,00:10:00,27,HT,1.737090384,
3785,27/11/2013,06:40:00,27,LT,-2.321429493,
3822,27/11/2013,12:50:00,27,HT,1.977119602,
3862,27/11/2013,19:30:00,27,LT,-2.668410728,
3898,28/11/2013,01:30:00,28,HT,2.166516746,
3938,28/11/2013,08:10:00,28,LT,-2.684033299,
3973,28/11/2013,14:00:00,28,HT,2.50859787,
4013,28/11/2013,20:40:00,28,LT,-3.129759681,
4049,29/11/2013,02:40:00,29,HT,2.798891013,
4088,29/11/2013,09:10:00,29,LT,-3.324485885,
4123,29/11/2013,15:00:00,29,HT,3.270539885,
4163,29/11/2013,21:40:00,29,LT,-3.603307148,
4198,30/11/2013,03:30:00,30,HT,3.634623041,
4239,30/11/2013,10:20:00,30,LT,-4.062500761,
4272,30/11/2013,15:50:00,30,HT,3.825046832,
4314,30/11/2013,22:50:00,30,LT,-4.592003341,
4347,01/12/2013,04:20:00,31,HT,4.352801272,
4388,01/12/2013,11:10:00,31,LT,-4.791986457,
4421,01/12/2013,16:40:00,31,HT,4.611230714,
4463,01/12/2013,23:40:00,31,LT,-5.059520027,
4495,02/12/2013,05:00:00,32,HT,4.974891905,
4537,02/12/2013,12:00:00,32,LT,-5.357362718,
4570,02/12/2013,17:30:00,32,HT,5.136785675,
4612,03/12/2013,00:30:00,33,LT,-5.46851427,
4644,03/12/2013,05:50:00,33,HT,5.50144346,
4686,03/12/2013,12:50:00,33,LT,-5.648734305,
4718,03/12/2013,18:10:00,33,HT,5.528532424,
4761,04/12/2013,01:20:00,34,LT,-5.707787176,
4792,04/12/2013,06:30:00,34,HT,5.825166543,
4835,04/12/2013,13:40:00,34,LT,-5.830098631,
4866,04/12/2013,18:50:00,34,HT,5.671242013,
4909,05/12/2013,02:00:00,35,LT,-5.848980557,
4943,05/12/2013,07:40:00,35,HT,5.918702225,
4983,05/12/2013,14:20:00,35,LT,-5.71993121,
5015,05/12/2013,19:40:00,35,HT,5.684039102,
5057,06/12/2013,02:40:00,36,LT,-5.316401353,
5091,06/12/2013,08:20:00,36,HT,5.683695105,
5132,06/12/2013,15:10:00,36,LT,-5.718213033,
5163,06/12/2013,20:20:00,36,HT,5.27410438,
5205,07/12/2013,03:20:00,37,LT,-5.402979896,
5237,07/12/2013,08:40:00,37,HT,5.412810306,
5280,07/12/2013,15:50:00,37,LT,-5.305864726,
5312,07/12/2013,21:10:00,37,HT,4.845880191,
5353,08/12/2013,04:00:00,38,LT,-4.79471439,
5385,08/12/2013,09:20:00,38,HT,4.912229136,
5428,08/12/2013,16:30:00,38,LT,-4.772614233,
5461,08/12/2013,22:00:00,38,HT,4.234793955,
5502,09/12/2013,04:50:00,39,LT,-4.302348977,
5535,09/12/2013,10:20:00,39,HT,4.207037318,
5577,09/12/2013,17:20:00,39,LT,-4.188117641,
5610,09/12/2013,22:50:00,39,HT,3.657529716,
5651,10/12/2013,05:40:00,40,LT,-3.732308781,
5685,10/12/2013,11:20:00,40,HT,3.685309451,
5727,10/12/2013,18:20:00,40,LT,-3.733223995,
5761,11/12/2013,00:00:00,41,HT,3.198763098,
5802,11/12/2013,06:50:00,41,LT,-3.406442622,
5836,11/12/2013,12:30:00,41,HT,3.402191937,
5878,11/12/2013,19:30:00,41,LT,-3.414948522,
5912,12/12/2013,01:10:00,42,HT,3.206210117,
5953,12/12/2013,08:00:00,42,LT,-3.342880517,
5987,12/12/2013,13:40:00,42,HT,3.37590718,
6029,12/12/2013,20:40:00,42,LT,-3.488091316,
6063,13/12/2013,02:20:00,43,HT,3.443165954,
6104,13/12/2013,09:10:00,43,LT,-3.503447767,
6138,13/12/2013,14:50:00,43,HT,3.499681613,
6179,13/12/2013,21:40:00,43,LT,-3.651559963,
6214,14/12/2013,03:30:00,44,HT,3.777229368,
6255,14/12/2013,10:20:00,44,LT,-3.887246871,
6288,14/12/2013,15:50:00,44,HT,3.944390927,
6330,14/12/2013,22:50:00,44,LT,-4.074996712,
6362,15/12/2013,04:10:00,45,HT,4.198712672,
6403,15/12/2013,11:00:00,45,LT,-4.207527384,
6437,15/12/2013,16:40:00,45,HT,4.393006221,
6478,15/12/2013,23:30:00,45,LT,-4.286672345,
6511,16/12/2013,05:00:00,46,HT,4.59360414,
6553,16/12/2013,12:00:00,46,LT,-4.480627548,
6586,16/12/2013,17:30:00,46,HT,4.509458847,
6626,17/12/2013,00:10:00,47,LT,-4.543350219,
6659,17/12/2013,05:40:00,47,HT,4.839023063,
6701,17/12/2013,12:40:00,47,LT,-4.697619114,
6734,17/12/2013,18:10:00,47,HT,4.562981131,
6775,18/12/2013,01:00:00,48,LT,-4.599814979,
6807,18/12/2013,06:20:00,48,HT,5.004540515,
6849,18/12/2013,13:20:00,48,LT,-4.533369371,
6881,18/12/2013,18:40:00,48,HT,4.850346769,
6922,19/12/2013,01:30:00,49,LT,-4.216117648,
6957,19/12/2013,07:20:00,49,HT,5.114563851,
6996,19/12/2013,13:50:00,49,LT,-4.428216655,
7028,19/12/2013,19:10:00,49,HT,4.675301389,
7069,20/12/2013,02:00:00,50,LT,-4.275883526,
7101,20/12/2013,07:20:00,50,HT,4.668758598,
7143,20/12/2013,14:20:00,50,LT,-4.477062624,
7176,20/12/2013,19:50:00,50,HT,4.266553189,
7216,21/12/2013,02:30:00,51,LT,-4.228835842,
7249,21/12/2013,08:00:00,51,HT,4.55171588,
7290,21/12/2013,14:50:00,51,LT,-4.103012812,
7323,21/12/2013,20:20:00,51,HT,4.358020827,
7362,22/12/2013,02:50:00,52,LT,-3.874553934,
7399,22/12/2013,09:00:00,52,HT,4.388568737,
7437,22/12/2013,15:20:00,52,LT,-3.754069078,
7471,22/12/2013,21:00:00,52,HT,3.741756521,
7510,23/12/2013,03:30:00,53,LT,-3.565869213,
7544,23/12/2013,09:10:00,53,HT,3.969358432,
7585,23/12/2013,16:00:00,53,LT,-3.229712433,
7622,23/12/2013,22:10:00,53,HT,3.853811048,
7658,24/12/2013,04:10:00,54,LT,-2.883650253,
7695,24/12/2013,10:20:00,54,HT,4.210286536,
7732,24/12/2013,16:30:00,54,LT,-2.950154209,
7769,24/12/2013,22:40:00,54,HT,3.695746922,
7807,25/12/2013,05:00:00,55,LT,-2.496223713,
7840,25/12/2013,10:30:00,55,HT,3.450004669,
7881,25/12/2013,17:20:00,55,LT,-2.539288931,
7916,25/12/2013,23:10:00,55,HT,3.034223956,
7956,26/12/2013,05:50:00,56,LT,-2.459390679,
7991,26/12/2013,11:40:00,56,HT,2.797202479,
8031,26/12/2013,18:20:00,56,LT,-2.652497305,
8069,27/12/2013,00:40:00,57,HT,3.026058529,
8107,27/12/2013,07:00:00,57,LT,-2.114762122,
8145,27/12/2013,13:20:00,57,HT,3.042194901,
8183,27/12/2013,19:40:00,57,LT,-2.385427789,
8221,28/12/2013,02:00:00,58,HT,3.308099162,
8259,28/12/2013,08:20:00,58,LT,-2.550991841,
8295,28/12/2013,14:20:00,58,HT,3.328646709,
8335,28/12/2013,21:00:00,58,LT,-2.960925687,
8370,29/12/2013,02:50:00,59,HT,3.22824056,
8410,29/12/2013,09:30:00,59,LT,-3.480464137,
8445,29/12/2013,15:20:00,59,HT,3.468033495,
8485,29/12/2013,22:00:00,59,LT,-3.803375324,
8519,30/12/2013,03:40:00,60,HT,4.081519118,
8560,30/12/2013,10:30:00,60,LT,-3.796320211,
8595,30/12/2013,16:20:00,60,HT,4.239817348,
8636,30/12/2013,23:10:00,60,LT,-4.243894857,
8672,31/12/2013,05:10:00,61,HT,4.991444628,
8711,31/12/2013,11:40:00,61,LT,-4.436581214,
8747,31/12/2013,17:40:00,61,HT,4.989037916,
8786,01/01/2014,00:10:00,62,LT,-4.756526245,
8821,01/01/2014,06:00:00,62,HT,5.545185847,
8860,01/01/2014,12:30:00,62,LT,-4.777296197,
8896,01/01/2014,18:30:00,62,HT,5.866039832,
8934,02/01/2014,00:50:00,63,LT,-4.879593281,
8969,02/01/2014,06:40:00,63,HT,6.083695768,
9010,02/01/2014,13:30:00,63,LT,-5.475274648,
9044,02/01/2014,19:10:00,63,HT,5.902351107,
9084,03/01/2014,01:50:00,64,LT,-5.277944294,
9118,03/01/2014,07:30:00,64,HT,6.609568129,
9158,03/01/2014,14:10:00,64,LT,-5.437754951,
9192,03/01/2014,19:50:00,64,HT,6.141438284,
9232,04/01/2014,02:30:00,65,LT,-5.647500505,
9266,04/01/2014,08:10:00,65,HT,6.484372768,
9307,04/01/2014,15:00:00,65,LT,-5.436344284,
9341,04/01/2014,20:40:00,65,HT,6.031055326,
9381,05/01/2014,03:20:00,66,LT,-5.328621699,
9415,05/01/2014,09:00:00,66,HT,6.010882133,
9455,05/01/2014,15:40:00,66,LT,-5.432642471,
9489,05/01/2014,21:20:00,66,HT,5.779499611,
9528,06/01/2014,03:50:00,67,LT,-4.896270839,
9563,06/01/2014,09:40:00,67,HT,5.973715211,
9602,06/01/2014,16:10:00,67,LT,-4.710769437,
9637,06/01/2014,22:00:00,67,HT,5.375034157,
9676,07/01/2014,04:30:00,68,LT,-4.406765112,
9711,07/01/2014,10:20:00,68,HT,5.121114558,
9751,07/01/2014,17:00:00,68,LT,-4.378697177,
9783,07/01/2014,22:20:00,68,HT,4.49441695,
9825,08/01/2014,05:20:00,69,LT,-3.981337168,
9857,08/01/2014,10:40:00,69,HT,4.208830592,
9899,08/01/2014,17:40:00,69,LT,-3.748595875,
9932,08/01/2014,23:10:00,69,HT,3.840605867,
9974,09/01/2014,06:10:00,70,LT,-3.239526396,
10007,09/01/2014,11:40:00,70,HT,3.467957494,
10048,09/01/2014,18:30:00,70,LT,-3.184588403,
10083,10/01/2014,00:20:00,71,HT,3.157995774,
10124,10/01/2014,07:10:00,71,LT,-2.969902495,
10158,10/01/2014,12:50:00,71,HT,2.91876281,
10199,10/01/2014,19:40:00,71,LT,-2.769691161,
10234,11/01/2014,01:30:00,72,HT,2.841294391,
10275,11/01/2014,08:20:00,72,LT,-2.721913623,
10310,11/01/2014,14:10:00,72,HT,2.672869368,
10351,11/01/2014,21:00:00,72,LT,-2.827665626,
10386,12/01/2014,02:50:00,73,HT,2.848349581,
10426,12/01/2014,09:30:00,73,LT,-2.854163703,
10461,12/01/2014,15:20:00,73,HT,3.109002909,
10501,12/01/2014,22:00:00,73,LT,-2.865744734,
10536,13/01/2014,03:50:00,74,HT,3.420069787,
10577,13/01/2014,10:40:00,74,LT,-3.211761537,
10612,13/01/2014,16:30:00,74,HT,3.632176043,
10651,13/01/2014,23:00:00,74,LT,-3.271176668,
10685,14/01/2014,04:40:00,75,HT,3.909642643,
10726,14/01/2014,11:30:00,75,LT,-3.672795038,
10760,14/01/2014,17:10:00,75,HT,3.795250461,
10800,14/01/2014,23:50:00,75,LT,-3.802260091,
10833,15/01/2014,05:20:00,76,HT,4.396302866,
10875,15/01/2014,12:20:00,76,LT,-4.001848495,
10908,15/01/2014,17:50:00,76,HT,4.30456038,
10948,16/01/2014,00:30:00,77,LT,-3.962377893,
10984,16/01/2014,06:30:00,77,HT,4.922079139,
11023,16/01/2014,13:00:00,77,LT,-4.0932104,
11058,16/01/2014,18:50:00,77,HT,4.795910263,
11096,17/01/2014,01:10:00,78,LT,-4.192673495,
11132,17/01/2014,07:10:00,78,HT,5.159849548,
11170,17/01/2014,13:30:00,78,LT,-4.342870807,
11206,17/01/2014,19:30:00,78,HT,4.856757989,
11243,18/01/2014,01:40:00,79,LT,-4.420483201,
11279,18/01/2014,07:40:00,79,HT,5.347388246,
11318,18/01/2014,14:10:00,79,LT,-4.477632545,
11353,18/01/2014,20:00:00,79,HT,5.066460522,
11391,19/01/2014,02:20:00,80,LT,-4.46946951,
11426,19/01/2014,08:10:00,80,HT,5.303150677,
11465,19/01/2014,14:40:00,80,LT,-4.565098458,
11497,19/01/2014,20:00:00,80,HT,4.932979823,
11538,20/01/2014,02:50:00,81,LT,-4.536799204,
11573,20/01/2014,08:40:00,81,HT,5.042308445,
11612,20/01/2014,15:10:00,81,LT,-4.615580946,
11645,20/01/2014,20:40:00,81,HT,4.67071115,
11685,21/01/2014,03:20:00,82,LT,-4.522556549,
11718,21/01/2014,08:50:00,82,HT,4.811672906,
11760,21/01/2014,15:50:00,82,LT,-4.469865488,
11792,21/01/2014,21:10:00,82,HT,4.511157705,
11832,22/01/2014,03:50:00,83,LT,-4.07388604,
11865,22/01/2014,09:20:00,83,HT,4.505108719,
11907,22/01/2014,16:20:00,83,LT,-4.11341918,
11940,22/01/2014,21:50:00,83,HT,4.056342601,
11980,23/01/2014,04:30:00,84,LT,-3.835800066,
12014,23/01/2014,10:10:00,84,HT,3.932173453,
12054,23/01/2014,16:50:00,84,LT,-3.727616554,
12088,23/01/2014,22:30:00,84,HT,3.535849539,
12129,24/01/2014,05:20:00,85,LT,-3.384119645,
12162,24/01/2014,10:50:00,85,HT,3.392309941,
12203,24/01/2014,17:40:00,85,LT,-3.268623806,
12238,24/01/2014,23:30:00,85,HT,2.869720208,
12278,25/01/2014,06:10:00,86,LT,-3.036354829,
12313,25/01/2014,12:00:00,86,HT,2.740611817,
12353,25/01/2014,18:40:00,86,LT,-2.709229588,
12389,26/01/2014,00:40:00,87,HT,2.606020923,
12430,26/01/2014,07:30:00,87,LT,-2.55929261,
12465,26/01/2014,13:20:00,87,HT,2.85222722,
12507,26/01/2014,20:20:00,87,LT,-2.488853794,
12544,27/01/2014,02:30:00,88,HT,2.989529896,
12583,27/01/2014,09:00:00,88,LT,-2.796273873,
12619,27/01/2014,15:00:00,88,HT,3.265668089,
12658,27/01/2014,21:30:00,88,LT,-2.968379576,
12695,28/01/2014,03:40:00,89,HT,3.746954904,
12735,28/01/2014,10:20:00,89,LT,-3.458316984,
12772,28/01/2014,16:30:00,89,HT,4.010015619,
12810,28/01/2014,22:50:00,89,LT,-3.766777727,
12847,29/01/2014,05:00:00,90,HT,4.720320826,
12886,29/01/2014,11:30:00,90,LT,-4.304163141,
12922,29/01/2014,17:30:00,90,HT,4.77846889,
12960,29/01/2014,23:50:00,90,LT,-4.680411568,
12996,30/01/2014,05:50:00,91,HT,5.380305685,
13036,30/01/2014,12:30:00,91,LT,-5.193609087,
13071,30/01/2014,18:20:00,91,HT,5.413645527,
13110,31/01/2014,00:50:00,92,LT,-5.287843994,
13145,31/01/2014,06:40:00,92,HT,6.061095048,
13185,31/01/2014,13:20:00,92,LT,-5.666812031,
13219,31/01/2014,19:00:00,92,HT,6.155417214,
